gene,sample,expression,organism,age,sex,infection,strain,time,tissue,mouse
Pnpla2,GSM2545336,2366,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Map6d1,GSM2545336,1619,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Ier5,GSM2545336,1233,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Bfsp2,GSM2545336,60,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Idi1,GSM2545336,465,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Kat2b,GSM2545336,7775,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Rmdn3,GSM2545336,4047,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Eif4b,GSM2545336,12319,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Grm4,GSM2545336,9157,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Pink1,GSM2545336,27791,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Mettl16,GSM2545336,752,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Fam193b,GSM2545336,2226,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Rtca,GSM2545336,2145,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Fgfbp1,GSM2545336,188,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Pigs,GSM2545336,2208,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Cfp,GSM2545336,485,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Desi1,GSM2545336,5120,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Gbp4,GSM2545336,816,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Nid1,GSM2545336,776,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Armcx5,GSM2545336,1189,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Cryab,GSM2545336,2328,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Prss53,GSM2545336,73,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Car4,GSM2545336,3195,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Gm6277,GSM2545336,134,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Amt,GSM2545336,709,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Zc3h6,GSM2545336,1980,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Aqp4,GSM2545336,15950,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Tmem198b,GSM2545336,689,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Abi3bp,GSM2545336,807,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Xpa,GSM2545336,665,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Aldh6a1,GSM2545336,5851,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Adam1a,GSM2545336,440,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Dynlt1a,GSM2545336,397,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Gatm,GSM2545336,3748,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
H2-Q4,GSM2545336,535,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Nras,GSM2545336,1472,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Pla2g4e,GSM2545336,1064,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Lpar1,GSM2545336,1535,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Il12rb1,GSM2545336,154,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Enpp6,GSM2545336,378,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Ermn,GSM2545336,2737,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Marcksl1,GSM2545336,880,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Ubqln4,GSM2545336,2976,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Glt8d1,GSM2545336,1129,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Ddx25,GSM2545336,1990,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Gpr17,GSM2545336,500,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Cat,GSM2545336,2143,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Wwox,GSM2545336,1317,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Phkg1,GSM2545336,528,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Ppp1r3f,GSM2545336,1479,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Mrpl35,GSM2545336,1018,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Nudt9,GSM2545336,2112,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Lypd6,GSM2545336,2006,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Spice1,GSM2545336,494,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Tuba8,GSM2545336,1047,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Spon1,GSM2545336,5825,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Nfya,GSM2545336,831,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Sc5d,GSM2545336,3473,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Aldh18a1,GSM2545336,760,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Ebp,GSM2545336,798,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Srr,GSM2545336,2107,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Gm14827,GSM2545336,198,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Gm31135,GSM2545336,21,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Adam17,GSM2545336,965,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Slc39a2,GSM2545336,469,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Snn,GSM2545336,7118,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Hnrnpc,GSM2545336,7924,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Srbd1,GSM2545336,366,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Ptp4a1,GSM2545336,1395,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Tppp,GSM2545336,8715,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Stac3,GSM2545336,101,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Emid1,GSM2545336,284,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Cotl1,GSM2545336,5397,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Ovgp1,GSM2545336,1301,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Ssx2ip,GSM2545336,4386,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Hsd3b7,GSM2545336,546,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Kazald1,GSM2545336,372,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Omd,GSM2545336,413,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Bcas1,GSM2545336,5485,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Gm9925,GSM2545336,689,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Dleu2,GSM2545336,247,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Chil3,GSM2545336,111,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Deaf1,GSM2545336,3343,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Dusp19,GSM2545336,205,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Gkn3,GSM2545336,25,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Pllp,GSM2545336,1134,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Sox2ot,GSM2545336,596,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Ntf3,GSM2545336,75,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Lum,GSM2545336,136,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Gm20751,GSM2545336,240,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Thnsl2,GSM2545336,274,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Slc2a4rg-ps,GSM2545336,273,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Agpat5,GSM2545336,3065,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Mdk,GSM2545336,690,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Penk,GSM2545336,4674,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Cirbp,GSM2545336,7079,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Aloxe3,GSM2545336,703,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Nudt5,GSM2545336,404,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Serpinb1a,GSM2545336,353,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Mt1,GSM2545336,15774,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Fgfr3,GSM2545336,5921,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Myo1d,GSM2545336,552,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Cd99l2,GSM2545336,3092,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
C2cd2,GSM2545336,820,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Brsk2,GSM2545336,8578,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Mrrf,GSM2545336,481,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Snhg4,GSM2545336,404,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Hmgcs1,GSM2545336,5441,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Stk17b,GSM2545336,3853,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
Cyp51,GSM2545336,1787,Mus musculus,8,Female,InfluenzaA,C57BL/6,NA,Cerebellum,14
