gene,sample,expression,organism,age,sex,infection,strain,time,tissue,mouse
Gal3st1,GSM2545346,197,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Xpc,GSM2545346,939,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Irf2bp2,GSM2545346,2131,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Spns2,GSM2545346,2098,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Pole,GSM2545346,164,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Fam78b,GSM2545346,1316,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Ggcx,GSM2545346,635,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Anks1,GSM2545346,1777,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Pgm2,GSM2545346,4153,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Zgrf1,GSM2545346,602,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Alkbh3,GSM2545346,598,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Dnd1,GSM2545346,23,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Lime1,GSM2545346,1448,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Trim23,GSM2545346,4790,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Abhd14a,GSM2545346,424,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Zkscan3,GSM2545346,1597,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Fam131b,GSM2545346,10520,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Elovl1,GSM2545346,531,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Trim72,GSM2545346,75,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Klhdc9,GSM2545346,188,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Iqck,GSM2545346,114,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Smim14,GSM2545346,6281,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Kcnab3,GSM2545346,2100,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Ing5,GSM2545346,654,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Cnnm3,GSM2545346,2650,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Fn3k,GSM2545346,848,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Cnp,GSM2545346,12859,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Uros,GSM2545346,547,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Eml1,GSM2545346,1948,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Lgals3,GSM2545346,127,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Gjb1,GSM2545346,519,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Dynll1,GSM2545346,1675,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Cyp2j12,GSM2545346,97,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Crip3,GSM2545346,22,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Sbk1,GSM2545346,17527,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Camkk2,GSM2545346,8869,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Setd7,GSM2545346,11337,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Btf3l4,GSM2545346,2413,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Acbd4,GSM2545346,1489,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Gm16835,GSM2545346,234,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Gpr37,GSM2545346,1556,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Prr5l,GSM2545346,456,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Slain1,GSM2545346,1668,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Calr,GSM2545346,7257,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Bst1,GSM2545346,23,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Fmnl3,GSM2545346,445,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Gpr89,GSM2545346,469,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Zranb1,GSM2545346,8232,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Col27a1,GSM2545346,488,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Emc8,GSM2545346,3557,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Ormdl3,GSM2545346,3203,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Capg,GSM2545346,140,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Zbtb21,GSM2545346,713,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Sord,GSM2545346,998,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Tsc22d1,GSM2545346,8539,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Gpld1,GSM2545346,2964,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Cdh4,GSM2545346,530,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Hkdc1,GSM2545346,118,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Ggact,GSM2545346,1608,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Zfp493,GSM2545346,89,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Mkks,GSM2545346,979,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Gm15423,GSM2545346,128,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Npas2,GSM2545346,239,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Plin4,GSM2545346,1537,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Rragc,GSM2545346,2952,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Nsun3,GSM2545346,730,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Hgsnat,GSM2545346,3139,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Acr,GSM2545346,128,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Ccdc167,GSM2545346,941,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Thap1,GSM2545346,289,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Egfl8,GSM2545346,57,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Vps33a,GSM2545346,4663,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Igbp1,GSM2545346,1517,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Tbx6,GSM2545346,43,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Dcst2,GSM2545346,36,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Rbm28,GSM2545346,1504,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Pms1,GSM2545346,550,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Rtcb,GSM2545346,4347,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Smad9,GSM2545346,1903,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Ubxn2b,GSM2545346,552,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Rnf170,GSM2545346,1839,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Pithd1,GSM2545346,2635,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Steap3,GSM2545346,57,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Tomm20,GSM2545346,10700,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Klf15,GSM2545346,2154,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Amz2,GSM2545346,1379,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Folh1,GSM2545346,975,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Ubfd1,GSM2545346,2150,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Gpx3,GSM2545346,1004,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
C4b,GSM2545346,919,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Mdfi,GSM2545346,254,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Nucb2,GSM2545346,326,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Clip4,GSM2545346,1593,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Tipin,GSM2545346,837,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Amy1,GSM2545346,1098,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Efhd1,GSM2545346,1297,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Smim15,GSM2545346,1603,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Zfp658,GSM2545346,614,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
E2f6,GSM2545346,1541,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Lix1,GSM2545346,287,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Coq4,GSM2545346,210,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Otoa,GSM2545346,89,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Mex3a,GSM2545346,106,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Tmem132c,GSM2545346,1295,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Dclk1,GSM2545346,12124,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Eml2,GSM2545346,4180,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Glyr1,GSM2545346,8117,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Gm1976,GSM2545346,511,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Smyd3,GSM2545346,1555,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Dcaf8,GSM2545346,7903,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Lias,GSM2545346,1196,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Msn,GSM2545346,2160,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Timmdc1,GSM2545346,451,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
H2-Q6,GSM2545346,91,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Asic3,GSM2545346,80,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Col5a3,GSM2545346,430,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Stx3,GSM2545346,3393,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
AW046200,GSM2545346,70,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Hsf1,GSM2545346,974,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Colq,GSM2545346,81,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Rcor3,GSM2545346,1463,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Slc6a20a,GSM2545346,1230,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Prps1,GSM2545346,2386,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Keap1,GSM2545346,2194,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Tap2,GSM2545346,444,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Slc16a7,GSM2545346,977,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Eif2b3,GSM2545346,627,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Flywch1,GSM2545346,12436,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Amigo2,GSM2545346,966,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Hspd1,GSM2545346,5669,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Sost,GSM2545346,12,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Gm8615,GSM2545346,5,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Kcnk13,GSM2545346,101,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Tspyl2,GSM2545346,5168,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Spsb3,GSM2545346,2883,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Gm8493,GSM2545346,8,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Fgf22,GSM2545346,126,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Slc6a6,GSM2545346,5689,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Xist,GSM2545346,16,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Ddx3y,GSM2545346,4742,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Eif2s3y,GSM2545346,3489,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Kdm5d,GSM2545346,1330,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Uty,GSM2545346,1374,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Eif2s3x,GSM2545346,1715,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Kdm6a,GSM2545346,2189,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Casp12,GSM2545346,255,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Ddx3x,GSM2545346,20544,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Prl2c3,GSM2545346,36,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Casp1,GSM2545346,62,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Pbdc1,GSM2545346,337,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Kdm5c,GSM2545346,2938,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Ctxn2,GSM2545346,85,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Ldoc1,GSM2545346,382,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Gpr179,GSM2545346,40,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Pou4f1,GSM2545346,8,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Tmprss3,GSM2545346,38,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Prl2c2,GSM2545346,10,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Slc35b1,GSM2545346,1555,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Myoc,GSM2545346,248,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Cartpt,GSM2545346,12,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Tchh,GSM2545346,61,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
H2-Q2,GSM2545346,31,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Ascl1,GSM2545346,108,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Crhr1,GSM2545346,2244,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Gm4017,GSM2545346,13,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Impg1,GSM2545346,30,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Rxfp3,GSM2545346,15,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
AI504432,GSM2545346,835,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Mpo,GSM2545346,8,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Oxtr,GSM2545346,15,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Usp2,GSM2545346,4287,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Lor,GSM2545346,15,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Srrm4,GSM2545346,3273,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Slc35g1,GSM2545346,240,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Tceal6,GSM2545346,1045,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Dach2,GSM2545346,79,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Lgr6,GSM2545346,220,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Kcna4,GSM2545346,181,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Zfyve28,GSM2545346,3323,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Hps4,GSM2545346,512,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Ucp3,GSM2545346,107,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Mettl17,GSM2545346,784,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Atg9b,GSM2545346,67,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Usp3,GSM2545346,4740,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Acta2,GSM2545346,210,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Wdr24,GSM2545346,611,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Zw10,GSM2545346,1428,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Ubtd2,GSM2545346,2623,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Slc6a4,GSM2545346,5,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Cog1,GSM2545346,1625,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
S100a9,GSM2545346,144,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Nadk,GSM2545346,2111,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Col6a1,GSM2545346,554,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Susd2,GSM2545346,158,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Fam53b,GSM2545346,2242,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Npas1,GSM2545346,8,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Rhbdf1,GSM2545346,534,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Cacnb1,GSM2545346,702,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Zfp579,GSM2545346,616,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Dtx4,GSM2545346,888,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Chrm3,GSM2545346,126,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Plcl2,GSM2545346,1732,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Ptprj,GSM2545346,3694,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Cyhr1,GSM2545346,5137,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Stx5a,GSM2545346,2349,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Smim8,GSM2545346,423,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Pappa2,GSM2545346,4,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Stbd1,GSM2545346,37,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Rln3,GSM2545346,0,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Ldlr,GSM2545346,978,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Bmp2,GSM2545346,48,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Itga10,GSM2545346,212,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Unc45a,GSM2545346,1329,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Hap1,GSM2545346,2740,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Gm35339,GSM2545346,230,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Serpinb8,GSM2545346,89,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Tmem200c,GSM2545346,188,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Ngb,GSM2545346,75,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Myh11,GSM2545346,248,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Ass1,GSM2545346,571,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Ccdc28b,GSM2545346,1874,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Vsx2,GSM2545346,2,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Klhl1,GSM2545346,248,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Slit1,GSM2545346,161,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Rbm10,GSM2545346,2243,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Sgk1,GSM2545346,8440,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Zbtb24,GSM2545346,718,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Kif5a,GSM2545346,31922,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Alox8,GSM2545346,114,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Rgcc,GSM2545346,350,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Olfr1033,GSM2545346,63,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Lrrn4,GSM2545346,1,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Trim59,GSM2545346,613,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Pnma2,GSM2545346,279,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Arc,GSM2545346,569,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Lypd6b,GSM2545346,172,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Prkar2b,GSM2545346,663,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Gabrd,GSM2545346,5727,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Sh3gl1,GSM2545346,1433,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Rab9b,GSM2545346,698,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Slc9a2,GSM2545346,226,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Gata3,GSM2545346,22,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Rnd3,GSM2545346,463,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Tdgf1,GSM2545346,207,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Tph2,GSM2545346,41,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Gprc5c,GSM2545346,2231,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Syt16,GSM2545346,181,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Cdyl,GSM2545346,534,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
St8sia2,GSM2545346,56,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Usp19,GSM2545346,4934,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Foxj2,GSM2545346,2131,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Wdfy2,GSM2545346,1770,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Fibcd1,GSM2545346,48,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Hs3st4,GSM2545346,166,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Rab27b,GSM2545346,425,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Gm4988,GSM2545346,127,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
Hebp1,GSM2545346,148,Mus musculus,8,Male,InfluenzaA,C57BL/6,NA,Cerebellum,23
